price,area,bedrooms,bathrooms,hotwaterheating,parking,furnishingstatus
78209750,1985,3,3,yes,1,Unfurnished
117784000,2800,3,4,yes,1,Unfurnished
125188210,1710,3,3,yes,1,Furnished
106300000,2400,3,4,yes,1,Semi-furnished
114860000,3200,4,4,yes,3,Unfurnished
85516000,2400,3,4,yes,1,Unfurnished
59353600,1680,3,3,yes,1,Semi-furnished
71380000,1980,3,3,yes,1,Semi-furnished
77212000,1800,3,3,yes,1,Unfurnished
119208000,3200,4,5,yes,2,Unfurnished
69112000,1800,3,4,yes,1,Unfurnished
90047500,2010,3,3,yes,1,Semi-furnished
139791040,2040,3,4,yes,1,Furnished
73972000,1800,3,3,yes,1,Semi-furnished
86304000,2300,3,3,yes,1,Semi-furnished
144407600,3640,4,4,yes,3,Semi-furnished
146108000,3600,4,5,yes,2,Unfurnished
89147950,2435,3,3,yes,1,Semi-furnished
53191000,1275,3,3,yes,1,Unfurnished
68864710,1587,3,3,yes,1,Semi-furnished
128557168,2064,3,3,yes,1,Furnished
94113200,2440,3,3,yes,1,Unfurnished
133696540,1980,3,4,yes,1,Furnished
39855724,636,2,2,no,1,Furnished
110069000,2770,3,4,yes,1,Unfurnished
122450900,2770,3,3,yes,1,Unfurnished
53688250,750,2,2,no,1,Furnished
170614000,4100,4,4,yes,3,Semi-furnished
114176800,1800,3,3,yes,1,Furnished
72295600,1200,3,3,yes,1,Furnished
123203800,1800,3,3,yes,1,Furnished
91684000,2160,3,3,yes,1,Semi-furnished
164570920,2220,3,4,yes,1,Furnished
17730000,500,1,1,no,0,Semi-furnished
160553582,2449,3,4,yes,1,Furnished
111656380,1790,3,4,yes,1,Furnished
75844000,1800,3,4,yes,1,Semi-furnished
46096000,1200,3,3,yes,1,Semi-furnished
168691720,2420,3,3,yes,1,Furnished
64122400,1710,3,4,yes,1,Unfurnished
113944000,2650,3,4,yes,1,Unfurnished
