This is dummy data,,,,,,,,
,,,,,,,,
,,,,,,,,
,Date,Franchise,City,Product,Sales,Profit,Target Profit,Target Sales
,1-May-22,M2,Mumbai,Amaretto,$302.00,$134.00,$130.00,$290.00
,1-Jun-22,M2,Mumbai,Amaretto,$127.00,$29.00,$40.00,$120.00
,1-Jul-22,M2,Mumbai,Amaretto,$102.00,-$88.00,,$120.00
,1-Aug-22,M2,Mumbai,Amaretto,$41.00,$10.00,$20.00,$40.00
,1-Sep-22,M2,Mumbai,Amaretto,$145.00,$22.00,$30.00,$140.00
,1-Oct-22,M2,Mumbai,Amaretto,$127.00,$37.00,$50.00,$110.00
,1-Nov-22,M2,Mumbai,Amaretto,$112.00,-$7.00,$20.00,$130.00
,1-Dec-22,M2,Mumbai,Amaretto,$139.00,$36.00,$50.00,$160.00
,1-Jan-23,M2,Mumbai,Amaretto,$245.00,$146.00,$100.00,$220.00
,1-Feb-23,M2,Mumbai,Amaretto,$157.00,$53.00,$50.00,$140.00
,1-Mar-23,M2,Mumbai,Amaretto,$162.00,-$3.00,$30.00,$180.00
,1-Apr-23,M2,Mumbai,Amaretto,$50.00,$17.00,$20.00,$40.00
,1-May-23,M2,Mumbai,Amaretto,$134.00,$20.00,$30.00,$120.00
,1-Jun-23,M2,Mumbai,Amaretto,$104.00,$31.00,$30.00,$80.00
,1-Jul-23,M2,Mumbai,Amaretto,$168.00,$2.00,$40.00,$180.00
,1-Aug-23,M2,Mumbai,Amaretto,$190.00,$73.00,$80.00,$210.00
,1-Sep-23,M2,Mumbai,Amaretto,$259.00,$156.00,$120.00,$250.00
,1-Oct-23,M2,Mumbai,Amaretto,$149.00,$49.00,$50.00,$140.00
,1-Nov-23,M2,Mumbai,Amaretto,$141.00,-$40.00,,$160.00
,1-Dec-23,M2,Mumbai,Amaretto,$48.00,$15.00,$20.00,$40.00
,1-Jan-24,M2,Mumbai,Amaretto,$126.00,$18.00,$30.00,$120.00
,1-Feb-24,M2,Mumbai,Amaretto,$108.00,$37.00,$40.00,$90.00
,1-Mar-24,M2,Mumbai,Amaretto,$137.00,-$6.00,$40.00,$160.00
,1-Apr-24,M2,Mumbai,Amaretto,$176.00,$68.00,$70.00,$200.00
,1-May-24,M2,Mumbai,Amaretto,$227.00,$134.00,$100.00,$220.00
,1-Jun-24,M2,Mumbai,Amaretto,$143.00,$47.00,$50.00,$140.00
,1-Jul-24,M2,Mumbai,Amaretto,$133.00,-$61.00,,$150.00
,1-Aug-24,M2,Mumbai,Amaretto,$48.00,$15.00,$20.00,$40.00
,1-Sep-24,M2,Mumbai,Amaretto,$128.00,$19.00,$30.00,$120.00
,1-Oct-24,M2,Mumbai,Amaretto,$114.00,$43.00,$40.00,$100.00
,1-Nov-24,M2,Mumbai,Amaretto,$133.00,-$4.00,$30.00,$150.00
,1-Dec-24,M2,Mumbai,Amaretto,$174.00,$67.00,$70.00,$200.00
,1-Jan-25,M2,Mumbai,Amaretto,$238.00,$142.00,$110.00,$230.00
,1-Feb-25,M2,Mumbai,Amaretto,$137.00,$42.00,$50.00,$130.00
,1-Mar-25,M2,Mumbai,Amaretto,$117.00,-$113.00,,$130.00
,1-Apr-25,M2,Mumbai,Amaretto,$50.00,$16.00,$10.00,$40.00
,1-May-25,M2,Mumbai,Amaretto,$135.00,$24.00,$20.00,$130.00
,1-Jun-25,M2,Mumbai,Amaretto,$129.00,$49.00,$40.00,$110.00
,1-Jul-25,M2,Mumbai,Amaretto,$133.00,-$4.00,$30.00,$150.00
,1-Aug-25,M2,Mumbai,Amaretto,$178.00,$70.00,$70.00,$200.00
,1-Sep-25,M2,Mumbai,Amaretto,$254.00,$153.00,$120.00,$260.00
,1-Oct-25,M2,Mumbai,Amaretto,$122.00,$37.00,$40.00,$120.00
,1-Nov-25,M2,Mumbai,Amaretto,$105.00,-$116.00,,$130.00
,1-Dec-25,M2,Mumbai,Amaretto,$49.00,$17.00,$20.00,$50.00
,1-Jan-26,M2,Mumbai,Amaretto,$129.00,$23.00,$20.00,$130.00
,1-Feb-26,M2,Mumbai,Amaretto,$124.00,$48.00,$40.00,$110.00
,1-Mar-26,M2,Mumbai,Amaretto,$127.00,-$3.00,$40.00,$160.00
,1-Apr-26,M2,Mumbai,Amaretto,$147.00,$52.00,$60.00,$180.00
,1-May-26,M2,Mumbai,Amaretto,$274.00,$167.00,$130.00,$280.00
,1-Jun-26,M2,Mumbai,Amaretto,$117.00,$33.00,$40.00,$120.00
,1-Jul-26,M2,Mumbai,Amaretto,$95.00,-$156.00,,$120.00
,1-Aug-26,M2,Mumbai,Amaretto,$57.00,$25.00,$30.00,$60.00
,1-Sep-26,M2,Mumbai,Amaretto,$132.00,$26.00,$20.00,$130.00
,1-Oct-26,M2,Mumbai,Amaretto,$137.00,$57.00,$50.00,$130.00
,1-Nov-26,M2,Mumbai,Amaretto,$106.00,-$8.00,$30.00,$130.00
,1-Dec-26,M2,Mumbai,Amaretto,$141.00,$50.00,$60.00,$170.00
,1-Jan-21,M3,Mumbai,Amaretto,$254.00,$153.00,$120.00,$260.00
,1-Feb-21,M3,Mumbai,Amaretto,$109.00,$28.00,$40.00,$110.00
,1-Mar-21,M3,Mumbai,Amaretto,$86.00,-$190.00,,$100.00
,1-Apr-21,M3,Mumbai,Amaretto,$60.00,$23.00,$30.00,$60.00
,1-May-21,M3,Mumbai,Amaretto,$132.00,$25.00,$20.00,$130.00
,1-Jun-21,M3,Mumbai,Amaretto,$150.00,$68.00,$70.00,$140.00
,1-Jul-21,M3,Mumbai,Amaretto,$94.00,-$14.00,$20.00,$110.00
,1-Aug-21,M3,Mumbai,Amaretto,$131.00,$44.00,$60.00,$160.00
,1-Sep-21,M3,Mumbai,Amaretto,$298.00,$184.00,$140.00,$310.00
,1-Oct-21,M3,Mumbai,Amaretto,$107.00,$26.00,$40.00,$110.00
,1-Nov-21,M3,Mumbai,Amaretto,$86.00,-$192.00,,$100.00
,1-Dec-21,M3,Mumbai,Amaretto,$62.00,$26.00,$30.00,$60.00
,1-Jan-22,M3,Mumbai,Amaretto,$139.00,$29.00,$30.00,$140.00
,1-Feb-22,M3,Mumbai,Amaretto,$150.00,$66.00,$70.00,$140.00
,1-Mar-22,M3,Mumbai,Amaretto,$88.00,-$15.00,$20.00,$110.00
,1-Apr-22,M3,Mumbai,Amaretto,$109.00,$33.00,$40.00,$130.00
,1-May-22,M3,Mumbai,Amaretto,$322.00,$199.00,$140.00,$310.00
,1-Jun-22,M3,Mumbai,Amaretto,$133.00,$42.00,$50.00,$130.00
,1-Jul-22,M3,Mumbai,Amaretto,$116.00,-$110.00,,$130.00
,1-Aug-22,M3,Mumbai,Amaretto,$51.00,$19.00,$20.00,$50.00
,1-Sep-22,M3,Mumbai,Amaretto,$159.00,$34.00,$30.00,$150.00
,1-Oct-22,M3,Mumbai,Amaretto,$128.00,$49.00,$50.00,$110.00
,1-Nov-22,M3,Mumbai,Amaretto,$134.00,-$4.00,$30.00,$150.00
,1-Dec-22,M3,Mumbai,Amaretto,$145.00,$49.00,$70.00,$170.00
,1-Jan-23,M3,Mumbai,Amaretto,$322.00,$197.00,$160.00,$300.00
,1-Feb-23,M3,Mumbai,Amaretto,$131.00,$39.00,$60.00,$110.00
,1-Mar-23,M3,Mumbai,Amaretto,$116.00,-$110.00,,$150.00
,1-Apr-23,M3,Mumbai,Amaretto,$55.00,$22.00,$30.00,$40.00
,1-May-23,M3,Mumbai,Amaretto,$134.00,$22.00,$50.00,$120.00
,1-Jun-23,M3,Mumbai,Amaretto,$128.00,$49.00,$60.00,$90.00
,1-Jul-23,M3,Mumbai,Amaretto,$130.00,-$7.00,$50.00,$170.00
,1-Aug-23,M3,Mumbai,Amaretto,$151.00,$53.00,$90.00,$200.00
,1-Sep-23,M3,Mumbai,Amaretto,$309.00,$190.00,$130.00,$280.00
,1-Oct-23,M3,Mumbai,Amaretto,$147.00,$49.00,$50.00,$130.00
,1-Nov-23,M3,Mumbai,Amaretto,$124.00,-$83.00,,$130.00
,1-Dec-23,M3,Mumbai,Amaretto,$42.00,$12.00,$10.00,$30.00
,1-Jan-24,M3,Mumbai,Amaretto,$129.00,$21.00,$20.00,$110.00
,1-Feb-24,M3,Mumbai,Amaretto,$120.00,$45.00,$40.00,$100.00
,1-Mar-24,M3,Mumbai,Amaretto,$133.00,-$6.00,$10.00,$140.00
,1-Apr-24,M3,Mumbai,Amaretto,$160.00,$58.00,$50.00,$170.00
,1-May-24,M3,Mumbai,Amaretto,$322.00,$199.00,$130.00,$290.00
,1-Jun-24,M3,Mumbai,Amaretto,$135.00,$43.00,$40.00,$120.00
,1-Jul-24,M3,Mumbai,Amaretto,$109.00,-$131.00,,$120.00
,1-Aug-24,M3,Mumbai,Amaretto,$44.00,$15.00,$20.00,$40.00
,1-Sep-24,M3,Mumbai,Amaretto,$155.00,$33.00,$30.00,$140.00
,1-Oct-24,M3,Mumbai,Amaretto,$135.00,$55.00,$50.00,$110.00
,1-Nov-24,M3,Mumbai,Amaretto,$119.00,-$10.00,$20.00,$130.00
,1-Dec-24,M3,Mumbai,Amaretto,$148.00,$53.00,$50.00,$160.00
,1-Jan-25,M3,Mumbai,Amaretto,$116.00,-$10.00,$30.00,$90.00
,1-Feb-25,M3,Mumbai,Amaretto,$169.00,$86.00,$70.00,$100.00
,1-Mar-25,M3,Mumbai,Amaretto,$116.00,-$9.00,$10.00,$60.00
,1-Apr-25,M3,Mumbai,Amaretto,$56.00,$22.00,$30.00,$30.00
,1-May-25,M3,Mumbai,Amaretto,$55.00,$21.00,$20.00,$30.00
,1-Jun-25,M3,Mumbai,Amaretto,$131.00,$40.00,$60.00,$100.00
,1-Jul-25,M3,Mumbai,Amaretto,$251.00,$129.00,$110.00,$210.00
,1-Aug-25,M3,Mumbai,Amaretto,$134.00,$24.00,$50.00,$110.00
,1-Sep-25,M3,Mumbai,Amaretto,$131.00,$71.00,$70.00,$150.00
,1-Oct-25,M3,Mumbai,Amaretto,$567.00,$291.00,$290.00,$680.00
,1-Nov-25,M3,Mumbai,Amaretto,$387.00,$159.00,$170.00,$460.00
,1-Dec-25,M3,Mumbai,Amaretto,$239.00,$22.00,$20.00,$210.00
,1-Jan-26,M3,Mumbai,Amaretto,$128.00,-$12.00,$0.00,$110.00
,1-Feb-26,M3,Mumbai,Amaretto,$65.00,-$300.00,,$50.00
,1-Mar-26,M3,Mumbai,Amaretto,$309.00,$188.00,$100.00,$220.00
,1-Apr-26,M3,Mumbai,Amaretto,$308.00,$39.00,$40.00,$280.00
,1-May-26,M3,Mumbai,Amaretto,$60.00,$24.00,$40.00,$70.00
,1-Jun-26,M3,Mumbai,Amaretto,$141.00,$76.00,$80.00,$160.00
,1-Jul-26,M3,Mumbai,Amaretto,$175.00,$67.00,$70.00,$200.00
,1-Aug-26,M3,Mumbai,Amaretto,$157.00,$3.00,$10.00,$140.00
,1-Sep-26,M3,Mumbai,Amaretto,$113.00,-$12.00,$10.00,$100.00
,1-Oct-26,M3,Mumbai,Amaretto,$150.00,$73.00,$30.00,$100.00
,1-Nov-26,M3,Mumbai,Amaretto,$113.00,-$10.00,$0.00,$80.00
,1-Dec-26,M3,Mumbai,Amaretto,$85.00,$43.00,$30.00,$60.00
,1-Jan-21,M1,Mumbai,Caffe Latte,$180.00,$53.00,$50.00,$150.00
,1-Feb-21,M1,Mumbai,Caffe Latte,$456.00,$140.00,$150.00,$430.00
,1-Mar-21,M1,Mumbai,Caffe Latte,$180.00,$8.00,$10.00,$150.00
,1-Apr-21,M1,Mumbai,Caffe Latte,$65.00,-$8.00,$0.00,$50.00
,1-May-21,M1,Mumbai,Caffe Latte,$200.00,$66.00,$70.00,$170.00
,1-Jun-21,M1,Mumbai,Caffe Latte,$43.00,$11.00,$20.00,$40.00
,1-Jul-21,M1,Mumbai,Caffe Latte,$130.00,$16.00,$20.00,$120.00
,1-Aug-21,M1,Mumbai,Caffe Latte,$114.00,$44.00,$40.00,$100.00
,1-Sep-21,M1,Mumbai,Caffe Latte,$110.00,$35.00,$40.00,$100.00
,1-Oct-21,M1,Mumbai,Caffe Latte,$189.00,$58.00,$60.00,$160.00
,1-Nov-21,M1,Mumbai,Caffe Latte,$457.00,$142.00,$150.00,$430.00
,1-Dec-21,M1,Mumbai,Caffe Latte,$155.00,$2.00,$10.00,$130.00
,1-Jan-22,M1,Mumbai,Caffe Latte,$68.00,-$7.00,$0.00,$50.00
,1-Feb-22,M1,Mumbai,Caffe Latte,$206.00,$70.00,$70.00,$170.00
,1-Mar-22,M1,Mumbai,Caffe Latte,$43.00,$31.00,$30.00,$40.00
,1-Apr-22,M1,Mumbai,Caffe Latte,$132.00,$18.00,$20.00,$120.00
,1-May-22,M1,Mumbai,Caffe Latte,$103.00,$38.00,$30.00,$90.00
,1-Jun-22,M1,Mumbai,Caffe Latte,$110.00,$35.00,$40.00,$100.00
,1-Jul-22,M1,Mumbai,Caffe Latte,$180.00,$54.00,$50.00,$150.00
,1-Aug-22,M1,Mumbai,Caffe Latte,$478.00,$149.00,$150.00,$450.00
,1-Sep-22,M1,Mumbai,Caffe Latte,$150.00,$1.00,$0.00,$120.00
,1-Oct-22,M1,Mumbai,Caffe Latte,$75.00,-$3.00,$10.00,$60.00
,1-Nov-22,M1,Mumbai,Caffe Latte,$214.00,$74.00,$80.00,$180.00
,1-Dec-22,M1,Mumbai,Caffe Latte,$43.00,$31.00,$30.00,$40.00
,1-Jan-23,M1,Mumbai,Caffe Latte,$129.00,$15.00,$20.00,$120.00
,1-Feb-23,M1,Mumbai,Caffe Latte,$118.00,$45.00,$50.00,$110.00
,1-Mar-23,M1,Mumbai,Caffe Latte,$112.00,$35.00,$40.00,$100.00
,1-Apr-23,M1,Mumbai,Caffe Latte,$170.00,$48.00,$50.00,$140.00
,1-May-23,M1,Mumbai,Caffe Latte,$478.00,$148.00,$150.00,$450.00
,1-Jun-23,M1,Mumbai,Caffe Latte,$150.00,$1.00,$0.00,$120.00
,1-Jul-23,M1,Mumbai,Caffe Latte,$65.00,-$9.00,$0.00,$50.00
,1-Aug-23,M1,Mumbai,Caffe Latte,$267.00,$98.00,$90.00,$220.00
,1-Sep-23,M1,Mumbai,Caffe Latte,$43.00,$32.00,$30.00,$40.00
,1-Oct-23,M1,Mumbai,Caffe Latte,$121.00,$13.00,$20.00,$110.00
,1-Nov-23,M1,Mumbai,Caffe Latte,$112.00,$43.00,$40.00,$100.00
,1-Dec-23,M1,Mumbai,Caffe Latte,$103.00,$32.00,$30.00,$90.00
,1-Jan-24,M1,Mumbai,Caffe Latte,$160.00,$44.00,$50.00,$130.00
,1-Feb-24,M1,Mumbai,Caffe Latte,$521.00,$165.00,$180.00,$500.00
,1-Mar-24,M1,Mumbai,Caffe Latte,$154.00,$3.00,$10.00,$130.00
,1-Apr-24,M1,Mumbai,Caffe Latte,$76.00,-$4.00,$10.00,$60.00
,1-May-24,M1,Mumbai,Caffe Latte,$273.00,$101.00,$100.00,$230.00
,1-Jun-24,M1,Mumbai,Caffe Latte,$43.00,$31.00,$30.00,$40.00
,1-Jul-24,M1,Mumbai,Caffe Latte,$118.00,$11.00,$20.00,$110.00
,1-Aug-24,M1,Mumbai,Caffe Latte,$97.00,$36.00,$50.00,$90.00
,1-Sep-24,M1,Mumbai,Caffe Latte,$110.00,$34.00,$40.00,$100.00
,1-Oct-24,M1,Mumbai,Caffe Latte,$135.00,$33.00,$40.00,$110.00
,1-Nov-24,M1,Mumbai,Caffe Latte,$521.00,$165.00,$180.00,$500.00
,1-Dec-24,M1,Mumbai,Caffe Latte,$128.00,-$3.00,$10.00,$110.00
,1-Jan-25,M1,Mumbai,Caffe Latte,$78.00,-$3.00,$0.00,$60.00
,1-Feb-25,M1,Mumbai,Caffe Latte,$282.00,$105.00,$100.00,$240.00
,1-Mar-25,M1,Mumbai,Caffe Latte,$43.00,$31.00,$30.00,$40.00
,1-Apr-25,M1,Mumbai,Caffe Latte,$115.00,$11.00,$30.00,$110.00
,1-May-25,M1,Mumbai,Caffe Latte,$89.00,$31.00,$40.00,$80.00
,1-Jun-25,M1,Mumbai,Caffe Latte,$110.00,$34.00,$40.00,$100.00
,1-Jul-25,M1,Mumbai,Caffe Latte,$131.00,$30.00,$40.00,$110.00
,1-Aug-25,M1,Mumbai,Caffe Latte,$532.00,$167.00,$170.00,$510.00
,1-Sep-25,M1,Mumbai,Caffe Latte,$113.00,-$6.00,$0.00,$90.00
,1-Oct-25,M1,Mumbai,Caffe Latte,$89.00,$1.00,$10.00,$70.00
,1-Nov-25,M1,Mumbai,Caffe Latte,$336.00,$128.00,$110.00,$280.00
,1-Dec-25,M1,Mumbai,Caffe Latte,$43.00,$32.00,$30.00,$40.00
,1-Jan-26,M1,Mumbai,Caffe Latte,$115.00,$12.00,$30.00,$110.00
,1-Feb-26,M1,Mumbai,Caffe Latte,$96.00,$36.00,$50.00,$90.00
,1-Mar-26,M1,Mumbai,Caffe Latte,$115.00,$36.00,$50.00,$110.00
,1-Apr-26,M1,Mumbai,Caffe Latte,$131.00,$30.00,$40.00,$110.00
,1-May-26,M1,Mumbai,Caffe Latte,$532.00,$167.00,$170.00,$510.00
,1-Jun-26,M1,Mumbai,Caffe Latte,$105.00,-$7.00,$10.00,$90.00
,1-Jul-26,M1,Mumbai,Caffe Latte,$65.00,-$8.00,$0.00,$50.00
,1-Aug-26,M1,Mumbai,Caffe Latte,$277.00,$102.00,$100.00,$230.00
,1-Sep-26,M1,Mumbai,Caffe Latte,$43.00,$32.00,$30.00,$40.00
,1-Oct-26,M1,Mumbai,Caffe Latte,$109.00,$9.00,$20.00,$100.00
,1-Nov-26,M1,Mumbai,Caffe Latte,$80.00,$28.00,$30.00,$70.00
,1-Dec-26,M1,Mumbai,Caffe Latte,$69.00,$17.00,$30.00,$60.00
,1-Jan-21,M2,Mumbai,Caffe Latte,$150.00,$39.00,$40.00,$120.00
,1-Feb-21,M2,Mumbai,Caffe Latte,$498.00,$156.00,$160.00,$470.00
,1-Mar-21,M2,Mumbai,Caffe Latte,$149.00,$2.00,$0.00,$120.00
,1-Apr-21,M2,Mumbai,Caffe Latte,$54.00,-$12.00,$0.00,$40.00
,1-May-21,M2,Mumbai,Caffe Latte,$230.00,$82.00,$80.00,$190.00
,1-Jun-21,M2,Mumbai,Caffe Latte,$43.00,$32.00,$30.00,$40.00
,1-Jul-21,M2,Mumbai,Caffe Latte,$102.00,$6.00,$10.00,$90.00
,1-Aug-21,M2,Mumbai,Caffe Latte,$79.00,$27.00,$30.00,$70.00
,1-Sep-21,M2,Mumbai,Caffe Latte,$76.00,$21.00,$30.00,$70.00
,1-Oct-21,M2,Mumbai,Caffe Latte,$182.00,$55.00,$50.00,$110.00
,1-Nov-21,M2,Mumbai,Caffe Latte,$478.00,$149.00,$160.00,$430.00
,1-Dec-21,M2,Mumbai,Caffe Latte,$144.00,$1.00,$10.00,$90.00
,1-Jan-22,M2,Mumbai,Caffe Latte,$56.00,-$12.00,$10.00,$30.00
,1-Feb-22,M2,Mumbai,Caffe Latte,$218.00,$76.00,$70.00,$130.00
,1-Mar-22,M2,Mumbai,Caffe Latte,$43.00,$32.00,$30.00,$30.00
,1-Apr-22,M2,Mumbai,Caffe Latte,$120.00,$12.00,$40.00,$100.00
,1-May-22,M2,Mumbai,Caffe Latte,$79.00,$28.00,$40.00,$60.00
,1-Jun-22,M2,Mumbai,Caffe Latte,$51.00,$10.00,$20.00,$30.00
,1-Jul-22,M2,Mumbai,Caffe Latte,$189.00,$59.00,$40.00,$140.00
,1-Aug-22,M2,Mumbai,Caffe Latte,$423.00,$129.00,$140.00,$410.00
,1-Sep-22,M2,Mumbai,Caffe Latte,$147.00,$1.00,$10.00,$110.00
,1-Oct-22,M2,Mumbai,Caffe Latte,$76.00,-$4.00,,$50.00
,1-Nov-22,M2,Mumbai,Caffe Latte,$245.00,$89.00,$60.00,$180.00
,1-Dec-22,M2,Mumbai,Caffe Latte,$43.00,$31.00,$30.00,$40.00
